----------------- Floating point (64 bits) -----------------
Max order	MAE	Normalized MAE	F1 Min	F1 Max	F2 Min	F2 Max	MAE-GO Orig	Normalized MAE-GO Orig	GO Orig	MAE-GO Trunc	Normalized MAE-GO Trunc	GO Trunc	Ranking MAE	Preserved GO
0	29344.84802721268	0.08941420526893774	305781	633971	434724.93412698415	434724.93412698415	128943.93412698415	0.3928941592583082	1	29344.84802721268	0.08941420526893774	40320	17260.867956349208	1
1	27001.32897401883	0.08227346651031059	305781	633971	394319.4985367347	481585.86537696084	120936.96937004587	0.3684968139493765	1	2412.4985367347253	0.007350920310596683	1	9954.284027777778	0
2	13707.209455054162	0.04176607896357038	305781	633971	317297.843874049	566326.4552578755	11516.843874049024	0.03509200120067346	1	11516.843874049024	0.03509200120067346	1	4998.5801587301585	1
3	10069.82022754033	0.030682897795607206	305781	633971	309194.3657242664	565598.853794612	3413.3657242663903	0.010400578092770622	1	3413.3657242663903	0.010400578092770622	1	4142.107837301587	1
4	5616.186853450009	0.01711260810338526	305781	633971	299385.39784231276	587536.0499995867	6395.6021576872445	0.019487498576090816	1	6395.6021576872445	0.019487498576090816	1	3297.6260168650792	1
5	1426.969232693681	0.004347997296363939	305781	633971	302890.5804811939	629590.1443199264	2890.4195188060985	0.008807152926067516	1	2890.4195188060985	0.008807152926067516	1	2914.3034226190475	1
6	37.71755952377028	0.00011492598654367981	305781	633971	305818.71755956457	633933.2824399548	37.71755956456764	0.00011492598666799	1	37.71755956456764	0.00011492598666799	1	1383.019246031746	1
7	1.3054984395109515e-07	3.9778739130106084e-13	305781	633971	305781.00000004075	633970.9999994786	4.0745362639427185e-08	1.2415174941170415e-13	1	4.0745362639427185e-08	1.2415174941170415e-13	1	0.0	1
----------------- Rationals -------------------
Max order	MAE	Normalized MAE	F1 Min	F1 Max	F2 Min	F2 Max	MAE-GO Orig	Normalized MAE-GO Orig	GO Orig	MAE-GO Trunc	Normalized MAE-GO Trunc	GO Trunc	Ranking MAE	Preserved GO
0	215684633/7350	215684633/2412196500	305781	633971	434724.93412698415	434724.93412698415	162469357/1260	162469357/413519400	1	215684633/7350	215684633/2412196500	40320	17260.867956349208	1
1	3658010443021/135475200	3658010443021/44461605888000	305781	633971	394319.4985367064	481585.8653769841	975235721/8064	975235721/2646524160	1	97271941/40320	97271941/13232620800	1	9954.284027777778	0
2	3713973884731/270950400	3713973884731/88923211776000	305781	633971	317297.84387400793	566326.4552579365	92871829/8064	92871829/2646524160	1	92871829/8064	92871829/2646524160	1	4998.5801587301585	1
3	8185265455741/812851200	8185265455741/266769635328000	305781	633971	309194.3657242064	565598.8537946428	68813453/20160	68813453/6616310400	1	68813453/20160	68813453/6616310400	1	4142.107837301587	1
4	1141281055813/203212800	1141281055813/66692408832000	305781	633971	299385.3978422619	587536.05	85956893/13440	85956893/4410873600	1	85956893/13440	85956893/4410873600	1	3297.6260168650792	1
5	1159913653159/812851200	1159913653159/266769635328000	305781	633971	302890.58048115077	629590.1443204365	23308343/8064	23308343/2646524160	1	23308343/8064	23308343/2646524160	1	2914.3034226190475	1
6	126731/3360	126731/1102718400	305781	633971	305818.7175595238	633933.2824404762	126731/3360	126731/1102718400	1	126731/3360	126731/1102718400	1	1383.019246031746	1
7	0	0	305781	633971	305781.0	633971.0	0	0	1	0	0	1	0.0	1
